Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality
bank,bank,,486,34,159,7,0.490909,0.750176,1199.166667,0.652744,0.652428,0.225653,0,0,0.02139,12,1
fraud,fraud,,87,4,15,6,0.402985,0.467284,573,0.137416,0.137469,0.026475,0,0,0.166667,1,0.215526
security,security,,92,2,7,5,0.331288,0.358642,504,0.021943,0.021933,0.013611,0,2,0,0,0.044839
debit,debit,,38,3,13,5,0.278351,0.326235,473,0.003657,0.003659,0.018539,0,2,0.333333,1,0.041882
credit,credit,,67,7,37,6,0.235808,0.329938,375,0.00087,0.000869,0.037105,0,2,0.333333,7,0.101803
technology,technology,,241,9,43,8,0.362416,0.504211,149.416667,0.255777,0.255799,0.055913,0,1,0.138889,5,0.394274
scheme,scheme,,30,6,24,7,0.197802,0.290873,103,0.00028,0.00028,0.0315,0,2,0.466667,7,0.094016
innovation,innovation,,145,6,24,8,0.350649,0.47026,59.416667,0.217106,0.217135,0.037098,0,0,0.266667,4,0.331623
currency,currency,,136,4,28,8,0.346154,0.451742,54.833333,0.16495,0.164995,0.026773,0,0,0.333333,2,0.25399
fintech,fintech,,79,3,14,8,0.343949,0.442482,53,0.144694,0.144749,0.021025,0,1,0.333333,1,0.223161
card,card,,132,3,16,6,0.228814,0.285185,53,0.000721,0.000721,0.019502,0,2,0.333333,1,0.037118
sct,sct,,18,3,11,8,0.167183,0.231878,53,0.000088,0.000088,0.018237,0,2,0.333333,1,0.044459
council,council,,13,5,16,7,0.19708,0.281614,50,0.000274,0.000274,0.025514,0,2,0.7,7,0.089584
transaction,transaction,,153,4,17,7,0.377622,0.463139,36.25,0.188145,0.18818,0.024617,0,0,0.5,3,0.288951
asset,asset,,48,2,6,8,0.335404,0.423964,17.75,0.110275,0.110334,0.01436,0,1,0,0,0.169839
blockchain,blockchain,,34,2,7,9,0.27,0.337992,1.5,0.056925,0.056911,0.014116,0,1,0,0,0.088213
swift,swift,,46,3,9,8,0.3375,0.433223,1,0.154705,0.154747,0.019527,0,0,0.666667,2,0.235635
account,account,,76,3,13,8,0.3375,0.433223,0.666667,0.164444,0.164489,0.018849,0,0,0.666667,2,0.250334
explores,explores,,45,2,8,8,0.339623,0.430137,0,0.141197,0.14125,0.013644,0,1,1,1,0.2163
claims,claims,,22,2,6,8,0.335404,0.423964,0,0.12708,0.127129,0.014054,0,0,1,1,0.194538
speed,speed,,42,2,6,8,0.335404,0.423964,0,0.135186,0.135237,0.013618,0,0,1,1,0.206005
gpi,gpi,,18,2,6,8,0.333333,0.420877,0,0.125487,0.125536,0.013897,0,0,1,1,0.191222
reserve,reserve,,54,1,7,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
platform,platform,,56,1,6,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
core,core,,29,1,5,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
realtime,realtime,,52,1,5,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
form,form,,31,1,5,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
framework,framework,,65,1,4,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
argues,argues,,50,1,4,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
ecosystem,ecosystem,,29,1,4,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
platforms,platforms,,27,1,4,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
correspondent,correspondent,,7,1,4,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
risk,risk,,49,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
cbdc,cbdc,,26,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
rtgs,rtgs,,25,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
psd2,psd2,,53,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
schemes,schemes,,38,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
discussions,discussions,,24,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
parameters,parameters,,10,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
secure,secure,,26,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
protection,protection,,26,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
infrastructure,infrastructure,,68,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
project,project,,20,1,3,8,0.331288,0.411618,0,0.101427,0.101483,0.008363,0,0,0,0,0.154964
prevention,prevention,,25,1,4,7,0.28877,0.318078,0,0.021374,0.021364,0.008357,0,0,0,0,0.034395
dlt,dlt,,27,1,4,9,0.267327,0.325647,0,0.03977,0.039766,0.008008,0,1,0,0,0.061336
intention,intention,,9,1,3,9,0.267327,0.325647,0,0.03977,0.039766,0.008008,0,1,0,0,0.061336
diffusion,diffusion,,14,1,3,9,0.26087,0.313301,0,0.033759,0.033754,0.007982,0,0,0,0,0.051041
monies,monies,,8,1,3,9,0.258373,0.307128,0,0.025653,0.025645,0.008418,0,0,0,0,0.039574
partner,partner,,19,1,3,9,0.257143,0.304042,0,0.022506,0.022496,0.008688,0,1,0,0,0.034891
transfer,transfer,,42,4,20,7,0.195652,0.269268,0,0.000262,0.000262,0.020358,0,2,1,6,0.080798
sepa,sepa,,16,4,17,7,0.195652,0.269268,0,0.000262,0.000262,0.020358,0,2,1,6,0.080798
transfers,transfers,,29,1,3,7,0.191489,0.233774,0,0.000135,0.000135,0.007233,0,2,0,0,0.022804
merchant,merchant,,35,1,3,7,0.186851,0.217416,0,0.000112,0.000112,0.008252,0,2,0,0,0.009759
euro,euro,,47,1,3,8,0.165644,0.210273,0,0.000043,0.000043,0.00719,0,2,0,0,0.020855
inst,inst,,12,1,4,9,0.143617,0.180467,0,0.000014,0.000014,0.007894,0,2,0,0,0.010849
